question,option1,option2,option3,option4,correct
מהו מקור השם תל מונד?,על שם המייסד אלפרד מונד,על שם התל הארכיאולוגי הסמוך,על שם נהר מונד,על שם אישיות תנ"כית,1
מתי הוקמה תל מונד?,1929,1948,1933,1967,1
מי היה המייסד של תל מונד?,אלפרד מונד,דוד בן גוריון,חיים ויצמן,מנחם בגין,1
איזה סוג גידול היה נפוץ בתל מונד?,פרדסים,שדות חיטה,כרמים,עצים טרופיים,1
מהו הסמל של תל מונד?,עץ תפוז,מנורה,מגדל מים,יונה,1
מהו הסטטוס המוניציפלי של תל מונד?,מועצה מקומית,עירייה,מועצה אזורית,כפר,1
מהו השטח של תל מונד?,כ-9 קמ"ר,כ-15 קמ"ר,כ-25 קמ"ר,כ-5 קמ"ר,1
כמה תושבים יש בתל מונד,10,000,15,000,20,000,25,000,2
איזה יישובים סמוכים לתל מונד?,קדימה צורן,נתניה,הרצליה,כל התשובות נכונות,4
מהו בית הספר הוותיק בתל מונד?,בית ספר שפרירים,בית ספר הדרים,בית ספר אופק,אין מידע,1
אילו אירועים היסטוריים התרחשו בתל מונד?,פריחת הפרדסים,הגעת עולים בשנות ה-50,הקמת בתי ספר,כל התשובות נכונות,4
איזו מערכת מים ייחודית הוקמה בתל מונד?,מגדל מים,תחנת שאיבה,בארות,מערכת השקיה מודרנית,1
מי כיהן כראש המועצה הראשון של תל מונד?,צבי אפרת,אלפרד מונד,דוד בן גוריון,מאיר דיזנגוף,1
מהו המבנה התרבותי הבולט בתל מונד?,היכל התרבות המקומי,הספרייה הציבורית,מוזיאון הפרדסים,מועדון הספורט,3
איזו מסורת חקלאית נשמרה בתל מונד?,קטיף הדרים,טקס הבאת ביכורים,שוק איכרים,אירועי מסיק זיתים,1
איזה אתר טבע פופולרי נמצא ליד תל מונד?,שמורת תל מונד,שמורת יקום,פארק השרון,אגם החולה,1
איזה שכונה חדשה נבנתה בשנים האחרונות?,נוף השרון,השכונה הירוקה,רמות מונד,כל התשובות נכונות,1
איזה חג מקומי נחגג בתל מונד?,חג הפרדסים,יום תל מונד,פסטיבל האורות,חג המסיק,1

